Option,Trip,Duration (days),Itinerary Summary,Important Considerations,Visa Requirements,Countries,Hot or Cold,Urban or Nature,Ease with Child (0-10),Urgency (0-10),Danger (0-10),Cost (0-10),Flight Time SFO (hrs),Flight Time ORD (hrs),Best Time to Visit (months),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sara's Been,Kenny's Been,Kenny (0-10),Sara (0-10),Sort Score,Duration Score,Temp Score,Type Score,New to Both,Visa Req,Danger Score,Child Score,Cost Score,Month Value,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
TRUE,Seoul & Hong Kong,8,Explore Seoul Gyeongju Busan and traditional markets and palaces,Well connected by high speed rail and metro,No visa required for US citizens up to 90 days,South Korea,Temperate,Urban,7,3,2,5,11,14,April to June and September to October,0,0,0,1,1,1,0,0,1,1,0,0,FALSE,FALSE,10,5,87.5,1,1,1,1,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Istanbul Turkey,7,Explore the Grand Bazaar Hagia Sophia Blue Mosque and Bosphorus,Straddles Europe and Asia so offers both western and eastern cultural elements,eVisa required for US citizens,Turkey,Temperate,Urban,6,5,5,5,13,10,April to June and September to October,0,0,0,1,1,1,0,0,1,1,0,0,FALSE,FALSE,9,5,78.75,1,1,1,1,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
TRUE,Berlin Germany,8,Historic sites modern art museums vibrant neighborhoods and a dynamic food scene,English is widely spoken but public transit requires basic navigation skills,No visa required for US citizens for stays under 90 days,Germany,Temperate,Urban,8,4,2,5,13,9,May June September October,0,0,0,0,1,1,0,0,1,1,0,0,FALSE,FALSE,9,5,78.75,1,1,1,1,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Budapest Hungary,7,Visit thermal baths castles ruin bars and Danube river attractions,EU country but uses Hungarian forint not the euro,No visa required for US citizens for up to 90 days in Schengen,Hungary,Temperate,Urban,7,3,2,4,14,11,April to June and September to October,0,0,0,1,1,1,0,0,1,1,0,0,FALSE,FALSE,8,5,72,1,1,1,1,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Portugal & Azores,9,Split time between Lisbon Porto and a flight to the Azores for hiking and hot springs,Azores flights limited and weather can shift quickly on islands,No visa required for US citizens under 90 days in Schengen,Portugal,Temperate,Mix,7,4,2,5,13,9,May to October,0,0,0,0,1,1,1,1,1,1,0,0,FALSE,FALSE,8,5,70,1,1,1,1,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,La Paz,7,Visit Bolivia’s high altitude capital and nearby moon valley and cable cars,High elevation may require acclimatization travel infrastructure may be limited,No visa required for US citizens,Bolivia,Temperate,Mix,4,5,5,4,13,10,May to October,0,0,0,0,1,1,1,1,1,1,0,0,FALSE,FALSE,7,5,63,1,1,1,1,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Poland,9,Warsaw Krakow and historical sites along with beautiful countryside,Cold weather outside of peak months,Visa not required for US citizens up to 90 days,Poland,Temperate,Urban,7,3,3,4,13,9.5,May Jun Sep Oct,0,0,0,0,1,1,0,0,1,1,0,0,FALSE,FALSE,7,5,63,1,1,1,1,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Hong Kong,8,Explore Kowloon Victoria Peak street markets and enjoy day trips to nearby islands,Current political tensions can impact protests and stability though still safe for tourists,No visa required for US citizens,China,Temperate,Urban,6,7,5,6,14.5,16,October to December and March to May,0,0,1,1,1,0,0,0,0,1,1,1,FALSE,FALSE,7,5,59.5,1,1,1,1,1,1,0,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Georgia Tbilisi,9,Explore Tbilisi's old town wine regions and Caucasus mountain villages,Ongoing tensions near borders avoid Russian and South Ossetian regions,No visa required for US citizens for up to one year,Georgia,Temperate,Mix,4,5,5,3,17,13.5,May June September October,0,0,0,0,1,1,0,0,1,1,0,0,FALSE,FALSE,6,5,55.5,1,1,1,1,1,1,0,0.85,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Slovenia,8,Ljubljana Lake Bled and the Julian Alps with natural beauty and compact urban centers,Public transport may be limited in rural areas,Visa not required for US citizens up to 90 days,Slovenia,Temperate,Mix,7,4,2,4,13,11.5,May Jun Sep Oct,0,0,0,0,1,1,0,0,1,1,0,0,FALSE,FALSE,6,5,54,1,1,1,1,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Aurora Borealis Viewing,6,Visit Fairbanks Yellowknife or Iceland to view the northern lights,Requires dark skies and clear weather plan around moon phase and cloud forecasts,Depends on country US passport holders typically do not need a visa,United States Canada Iceland Norway,Cold,Nature,4,7,2,6,6,5.5,September to March,1,1,1,0,0,0,0,0,1,1,1,1,FALSE,FALSE,6,5,51,1,1,1,1,1,1,0,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Prague Czech Republic,7,Visit Prague Castle Old Town Charles Bridge and enjoy Czech beer and food,Gets very crowded in summer shoulder seasons are more comfortable,No visa required for US citizens up to 90 days in Schengen,Czech Republic,Temperate,Urban,7,3,2,4,14,10,April to June and September to October,0,0,0,1,1,1,0,0,1,1,0,0,TRUE,FALSE,8,5,36,1,1,1,0.5,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Morocco,9,Visit Marrakech the Atlas Mountains and the Sahara Desert by guided tour or self-drive,Dress modestly in rural areas check travel advisories near Western Sahara,No visa required for US citizens up to 90 days,Morocco,Hot,Mix,5,4,4,4,15.5,11,March to May and September to November,0,0,1,1,1,0,0,0,1,1,1,0,FALSE,FALSE,4,5,36,1,1,1,1,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,New Mexico Santa Fe Hot Air Balloons,6,Visit Santa Fe art scene and attend Albuquerque Balloon Fiesta,Balloon Fiesta runs in early October book far in advance,No visa required for US citizens,United States,Temperate,Mix,6,5,3,4,2.5,3.5,September to October,0,0,0,0,0,0,0,0,1,1,0,0,FALSE,FALSE,4,5,36,1,1,1,1,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Greece,9,Visit Athens and island hop through Santorini Naxos or Crete,Very hot in summer ferry schedules vary by season,No visa required for US citizens up to 90 days,Greece,Hot,Mix,7,4,2,6,14,11,May to October,0,0,0,0,1,1,1,1,1,1,0,0,TRUE,FALSE,8,5,34,1,1,1,0.5,1,1,0,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,New Orleans,6,Experience jazz French Quarter history and local cuisine,Humidity and hurricane season in summer and fall,No visa required for US citizens,United States,Hot,Urban,5,3,4,4,4.5,2.5,February to April and October to November,0,1,1,1,0,0,0,0,0,1,1,0,FALSE,TRUE,6,5,27,1,1,1,0.5,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Seychelles,8,Short island getaway with beaches reef snorkeling some hiking on Mahe and Praslin,October is Creole Festival time trade-wind transitions lodging scarce without booking early,Visa-free for 30 days as US citizen,Seychelles,Hot,Nature,6,3,2,8,16,15,Oct-Nov,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,FALSE,3,5,24,1,1,1,1,1,1,0,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Grand Canyon,6,Hiking rim views and possible river rafting in Arizona’s natural wonder,Summer heat can be extreme plan for hydration and sun protection,No visa required for US citizens,United States,Hot,Nature,6,3,4,4,2,4,April to June and September to October,0,0,0,1,1,1,0,0,1,1,0,0,FALSE,TRUE,5,5,22.5,1,1,1,0.5,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Croatia,9,Coastal towns national parks and historic sites with Mediterranean climate,Overtourism can affect peak months,Visa not required for US citizens up to 90 days,Croatia,Temperate,Mix,7,4,3,5,13.5,10,May Jun Sep Oct,0,0,0,0,1,1,0,0,1,1,0,0,FALSE,TRUE,5,5,21.875,1,1,1,0.5,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
